"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A cascade deletion test for questions when deleting a category.","29","Test cascade deletion of questions when a category is deleted","tests.integration","Wed Sep 17 20:08:34 GMT 2025","passed","Wed Sep 17 20:08:34 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
"Test getting a category by ID.","4","Test getting an existing category by ID","tests.unit","Wed Sep 17 20:08:35 GMT 2025","passed","Wed Sep 17 20:08:35 GMT 2025","TestCategoryService","test_category_service","",""
"Test that health endpoint returns correct status.","14","test_health_endpoint","tests.e2e","Wed Sep 17 20:08:34 GMT 2025","passed","Wed Sep 17 20:08:34 GMT 2025","TestHealthCheck","test_health","",""
"Test deleting a non-existent category returns None.","1","Test deleting a non-existent category","tests.unit","Wed Sep 17 20:08:35 GMT 2025","passed","Wed Sep 17 20:08:35 GMT 2025","TestCategoryService","test_category_service","",""
"A test for the successful deletion of a category.","50","test_delete_category","tests.e2e","Wed Sep 17 20:08:33 GMT 2025","passed","Wed Sep 17 20:08:33 GMT 2025","TestCategoriesAPI","test_categories_api","",""
"Test updating non-existent question returns 404.","8","Test updating a non-existent question","tests.integration","Wed Sep 17 20:08:34 GMT 2025","passed","Wed Sep 17 20:08:34 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test getting all categories.","6","Test getting a list of all categories","tests.unit","Wed Sep 17 20:08:35 GMT 2025","passed","Wed Sep 17 20:08:35 GMT 2025","TestCategoryService","test_category_service","",""
"Test getting a non-existent category by name returns None.","2","Test getting a non-existent category by name","tests.unit","Wed Sep 17 20:08:35 GMT 2025","passed","Wed Sep 17 20:08:35 GMT 2025","TestCategoryService","test_category_service","",""
"Test getting a question by ID.","5","Test getting an existing question by ID","tests.unit","Wed Sep 17 20:08:35 GMT 2025","passed","Wed Sep 17 20:08:35 GMT 2025","TestQuestionService","test_question_service","",""
"Test deleting a question.","5","Test deleting an existing question","tests.unit","Wed Sep 17 20:08:35 GMT 2025","passed","Wed Sep 17 20:08:35 GMT 2025","TestQuestionService","test_question_service","",""
"The test of getting a category by ID.","6","Test getting a category by its ID","tests.integration","Wed Sep 17 20:08:34 GMT 2025","passed","Wed Sep 17 20:08:34 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
"Test updating a question.","4","Test updating an existing question","tests.unit","Wed Sep 17 20:08:35 GMT 2025","passed","Wed Sep 17 20:08:35 GMT 2025","TestQuestionService","test_question_service","",""
"A test that verifies the impossibility of creating a duplicate category.","16","Test failure when creating a duplicate category","tests.integration","Wed Sep 17 20:08:34 GMT 2025","passed","Wed Sep 17 20:08:34 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
"Test updating a category.","4","Test updating an existing category","tests.unit","Wed Sep 17 20:08:35 GMT 2025","passed","Wed Sep 17 20:08:35 GMT 2025","TestCategoryService","test_category_service","",""
"Test deleting a non-existent question returns None.","1","Test deleting a non-existent question","tests.unit","Wed Sep 17 20:08:35 GMT 2025","passed","Wed Sep 17 20:08:35 GMT 2025","TestQuestionService","test_question_service","",""
"Test getting question by ID.","6","Test getting a single question by its ID","tests.integration","Wed Sep 17 20:08:34 GMT 2025","passed","Wed Sep 17 20:08:34 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test successful question creation.","9","Test successful question creation","tests.integration","Wed Sep 17 20:08:34 GMT 2025","passed","Wed Sep 17 20:08:34 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
