"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test deleting a category.","4","Test deleting an existing category","tests.unit","Wed Sep 17 20:18:11 GMT 2025","passed","Wed Sep 17 20:18:11 GMT 2025","TestCategoryService","test_category_service","",""
"A test that verifies the impossibility of creating a duplicate category.","20","Test failure when creating a duplicate category","tests.integration","Wed Sep 17 20:18:10 GMT 2025","passed","Wed Sep 17 20:18:10 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
"Test that health endpoint returns correct status.","11","test_health_endpoint","tests.e2e","Wed Sep 17 20:18:10 GMT 2025","passed","Wed Sep 17 20:18:10 GMT 2025","TestHealthCheck","test_health","",""
"The deletion test for a non-existent category should return a 404.","7","Test deleting a non-existent category","tests.integration","Wed Sep 17 20:18:10 GMT 2025","passed","Wed Sep 17 20:18:10 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
"An update test for a non-existent category should return a 404.","6","Test updating a non-existent category","tests.integration","Wed Sep 17 20:18:10 GMT 2025","passed","Wed Sep 17 20:18:10 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
"Test getting a non-existent category by name returns None.","1","Test getting a non-existent category by name","tests.unit","Wed Sep 17 20:18:11 GMT 2025","passed","Wed Sep 17 20:18:11 GMT 2025","TestCategoryService","test_category_service","",""
"Test updating a question.","10","Test successful question update","tests.integration","Wed Sep 17 20:18:10 GMT 2025","passed","Wed Sep 17 20:18:10 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"A test of a successful category update.","10","Test successful category update","tests.integration","Wed Sep 17 20:18:10 GMT 2025","passed","Wed Sep 17 20:18:10 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
"Test updating non-existent question returns 404.","6","Test updating a non-existent question","tests.integration","Wed Sep 17 20:18:10 GMT 2025","passed","Wed Sep 17 20:18:10 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test getting a category by name is case insensitive.","3","Test getting a category by name is case-insensitive","tests.unit","Wed Sep 17 20:18:11 GMT 2025","passed","Wed Sep 17 20:18:11 GMT 2025","TestCategoryService","test_category_service","",""
"Test getting all questions.","23","Test getting a list of all questions","tests.integration","Wed Sep 17 20:18:10 GMT 2025","passed","Wed Sep 17 20:18:10 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test deleting a question.","11","Test successful question deletion","tests.integration","Wed Sep 17 20:18:10 GMT 2025","passed","Wed Sep 17 20:18:10 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test getting questions by category.","8","Test filtering questions by category","tests.unit","Wed Sep 17 20:18:11 GMT 2025","passed","Wed Sep 17 20:18:11 GMT 2025","TestQuestionService","test_question_service","",""
"Test successful question creation.","6","Test successful question creation","tests.integration","Wed Sep 17 20:18:10 GMT 2025","passed","Wed Sep 17 20:18:10 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test getting question by ID.","5","Test getting a single question by its ID","tests.integration","Wed Sep 17 20:18:10 GMT 2025","passed","Wed Sep 17 20:18:10 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test getting all questions.","5","Test getting a list of all questions","tests.unit","Wed Sep 17 20:18:11 GMT 2025","passed","Wed Sep 17 20:18:11 GMT 2025","TestQuestionService","test_question_service","",""
"Test creating a new category.","4","Test creating a new category successfully","tests.unit","Wed Sep 17 20:18:11 GMT 2025","passed","Wed Sep 17 20:18:11 GMT 2025","TestCategoryService","test_category_service","",""
"Test partial update of question.","3","Test partial update of a question","tests.unit","Wed Sep 17 20:18:11 GMT 2025","passed","Wed Sep 17 20:18:11 GMT 2025","TestQuestionService","test_question_service","",""
"Test getting non-existent question by text returns None.","1","Test getting a non-existent question by text","tests.unit","Wed Sep 17 20:18:11 GMT 2025","passed","Wed Sep 17 20:18:11 GMT 2025","TestQuestionService","test_question_service","",""
"Test partial update of category.","2","Test partial update of a category","tests.unit","Wed Sep 17 20:18:11 GMT 2025","passed","Wed Sep 17 20:18:11 GMT 2025","TestCategoryService","test_category_service","",""
"Test getting a non-existent question returns None.","1","Test getting a non-existent question by ID","tests.unit","Wed Sep 17 20:18:11 GMT 2025","passed","Wed Sep 17 20:18:11 GMT 2025","TestQuestionService","test_question_service","",""
"Test deleting a non-existent question returns None.","1","Test deleting a non-existent question","tests.unit","Wed Sep 17 20:18:11 GMT 2025","passed","Wed Sep 17 20:18:11 GMT 2025","TestQuestionService","test_question_service","",""
"Test getting a category by ID.","4","Test getting an existing category by ID","tests.unit","Wed Sep 17 20:18:11 GMT 2025","passed","Wed Sep 17 20:18:11 GMT 2025","TestCategoryService","test_category_service","",""
"Test getting a question by ID.","3","Test getting an existing question by ID","tests.unit","Wed Sep 17 20:18:11 GMT 2025","passed","Wed Sep 17 20:18:11 GMT 2025","TestQuestionService","test_question_service","",""
"Test getting question by text is case insensitive.","3","Test getting a question by text is case-insensitive","tests.unit","Wed Sep 17 20:18:11 GMT 2025","passed","Wed Sep 17 20:18:11 GMT 2025","TestQuestionService","test_question_service","",""
"Test for the successful creation of a question.","19","test_create_question","tests.e2e","Wed Sep 17 20:18:10 GMT 2025","passed","Wed Sep 17 20:18:10 GMT 2025","TestQuestionsAPI","test_questions_api","",""
"The test of successful category creation.","24","Test successful category creation","tests.integration","Wed Sep 17 20:18:10 GMT 2025","passed","Wed Sep 17 20:18:10 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
"Test getting questions by category.","28","Test filtering questions by category ID","tests.integration","Wed Sep 17 20:18:10 GMT 2025","passed","Wed Sep 17 20:18:10 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test getting all categories.","5","Test getting a list of all categories","tests.unit","Wed Sep 17 20:18:11 GMT 2025","passed","Wed Sep 17 20:18:11 GMT 2025","TestCategoryService","test_category_service","",""
"The test for getting a non-existent category should return a 404.","9","Test getting a non-existent category","tests.integration","Wed Sep 17 20:18:10 GMT 2025","passed","Wed Sep 17 20:18:10 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
"Test that root endpoint is accessible.","12","test_root_endpoint","tests.e2e","Wed Sep 17 20:18:10 GMT 2025","passed","Wed Sep 17 20:18:10 GMT 2025","TestHealthCheck","test_health","",""
