"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test getting a non-existent category returns None.","1","Test getting a non-existent category by ID","tests.unit","Thu Oct 09 03:59:29 GMT 2025","passed","Thu Oct 09 03:59:29 GMT 2025","TestCategoryService","test_category_service","",""
"Test for successful retrieval of a question by ID.","13","test_read_question_by_id","tests.e2e","Thu Oct 09 03:59:28 GMT 2025","passed","Thu Oct 09 03:59:28 GMT 2025","TestQuestionsAPI","test_questions_api","",""
"Test updating a non-existent question returns None.","2","Test updating a non-existent question","tests.unit","Thu Oct 09 03:59:29 GMT 2025","passed","Thu Oct 09 03:59:29 GMT 2025","TestQuestionService","test_question_service","",""
"Test for the successful creation of a question.","18","test_create_question","tests.e2e","Thu Oct 09 03:59:28 GMT 2025","passed","Thu Oct 09 03:59:28 GMT 2025","TestQuestionsAPI","test_questions_api","",""
"Test getting non-existent question by text returns None.","2","Test getting a non-existent question by text","tests.unit","Thu Oct 09 03:59:29 GMT 2025","passed","Thu Oct 09 03:59:29 GMT 2025","TestQuestionService","test_question_service","",""
"Test updating a question.","8","Test successful question update","tests.integration","Thu Oct 09 03:59:29 GMT 2025","passed","Thu Oct 09 03:59:29 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test deleting a non-existent question returns None.","1","Test deleting a non-existent question","tests.unit","Thu Oct 09 03:59:29 GMT 2025","passed","Thu Oct 09 03:59:29 GMT 2025","TestQuestionService","test_question_service","",""
"Test getting a category by ID.","3","Test getting an existing category by ID","tests.unit","Thu Oct 09 03:59:29 GMT 2025","passed","Thu Oct 09 03:59:29 GMT 2025","TestCategoryService","test_category_service","",""
"Test getting all questions.","4","Test getting a list of all questions","tests.unit","Thu Oct 09 03:59:29 GMT 2025","passed","Thu Oct 09 03:59:29 GMT 2025","TestQuestionService","test_question_service","",""
"Test that health endpoint returns correct status.","12","test_health_endpoint","tests.e2e","Thu Oct 09 03:59:28 GMT 2025","passed","Thu Oct 09 03:59:28 GMT 2025","TestHealthCheck","test_health","",""
"Test deleting a question.","11","Test successful question deletion","tests.integration","Thu Oct 09 03:59:29 GMT 2025","passed","Thu Oct 09 03:59:29 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test getting a non-existent question returns None.","2","Test getting a non-existent question by ID","tests.unit","Thu Oct 09 03:59:29 GMT 2025","passed","Thu Oct 09 03:59:29 GMT 2025","TestQuestionService","test_question_service","",""
"Test getting a category by name.","3","Test getting a category by its name","tests.unit","Thu Oct 09 03:59:29 GMT 2025","passed","Thu Oct 09 03:59:29 GMT 2025","TestCategoryService","test_category_service","",""
"Test that creating duplicate question fails.","11","Test failure when creating a duplicate question","tests.integration","Thu Oct 09 03:59:29 GMT 2025","passed","Thu Oct 09 03:59:29 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test getting non-existent question returns 404.","6","Test getting a non-existent question","tests.integration","Thu Oct 09 03:59:29 GMT 2025","passed","Thu Oct 09 03:59:29 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test deleting a category.","4","Test deleting an existing category","tests.unit","Thu Oct 09 03:59:29 GMT 2025","passed","Thu Oct 09 03:59:29 GMT 2025","TestCategoryService","test_category_service","",""
"Test getting all categories.","4","Test getting a list of all categories","tests.unit","Thu Oct 09 03:59:29 GMT 2025","passed","Thu Oct 09 03:59:29 GMT 2025","TestCategoryService","test_category_service","",""
"A test for the successful deletion of a category.","38","test_delete_category","tests.e2e","Thu Oct 09 03:59:28 GMT 2025","passed","Thu Oct 09 03:59:28 GMT 2025","TestCategoriesAPI","test_categories_api","",""
"An update test for a non-existent category should return a 404.","7","Test updating a non-existent category","tests.integration","Thu Oct 09 03:59:29 GMT 2025","passed","Thu Oct 09 03:59:29 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
"A test that verifies the impossibility of creating a duplicate category.","14","Test failure when creating a duplicate category","tests.integration","Thu Oct 09 03:59:28 GMT 2025","passed","Thu Oct 09 03:59:28 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
"Test getting questions by category.","28","Test filtering questions by category ID","tests.integration","Thu Oct 09 03:59:29 GMT 2025","passed","Thu Oct 09 03:59:29 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test retrieving all questions without filters.","14","test_get_all_questions","tests.e2e","Thu Oct 09 03:59:28 GMT 2025","passed","Thu Oct 09 03:59:28 GMT 2025","TestQuestionsAPI","test_questions_api","",""
"Test deleting a question.","4","Test deleting an existing question","tests.unit","Thu Oct 09 03:59:29 GMT 2025","passed","Thu Oct 09 03:59:29 GMT 2025","TestQuestionService","test_question_service","",""
"The test of getting a category by ID.","4","Test getting a category by its ID","tests.integration","Thu Oct 09 03:59:29 GMT 2025","passed","Thu Oct 09 03:59:29 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
"Test partial update of category.","2","Test partial update of a category","tests.unit","Thu Oct 09 03:59:29 GMT 2025","passed","Thu Oct 09 03:59:29 GMT 2025","TestCategoryService","test_category_service","",""
"Test creating a new category.","3","Test creating a new category successfully","tests.unit","Thu Oct 09 03:59:29 GMT 2025","passed","Thu Oct 09 03:59:29 GMT 2025","TestCategoryService","test_category_service","",""
"A test of a successful category update.","9","Test successful category update","tests.integration","Thu Oct 09 03:59:29 GMT 2025","passed","Thu Oct 09 03:59:29 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
"Test getting a question by ID.","3","Test getting an existing question by ID","tests.unit","Thu Oct 09 03:59:29 GMT 2025","passed","Thu Oct 09 03:59:29 GMT 2025","TestQuestionService","test_question_service","",""
"The deletion test for a non-existent category should return a 404.","6","Test deleting a non-existent category","tests.integration","Thu Oct 09 03:59:29 GMT 2025","passed","Thu Oct 09 03:59:29 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
"Test getting a category by name is case insensitive.","3","Test getting a category by name is case-insensitive","tests.unit","Thu Oct 09 03:59:29 GMT 2025","passed","Thu Oct 09 03:59:29 GMT 2025","TestCategoryService","test_category_service","",""
"Test updating a non-existent category returns None.","1","Test updating a non-existent category","tests.unit","Thu Oct 09 03:59:29 GMT 2025","passed","Thu Oct 09 03:59:29 GMT 2025","TestCategoryService","test_category_service","",""
