"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test getting questions from a category with no questions.","16","test_get_questions_empty_category","tests.e2e","Mon Sep 29 20:12:47 GMT 2025","passed","Mon Sep 29 20:12:47 GMT 2025","TestQuestionsAPI","test_questions_api","",""
"Test that health endpoint returns correct status.","14","test_health_endpoint","tests.e2e","Mon Sep 29 20:12:47 GMT 2025","passed","Mon Sep 29 20:12:47 GMT 2025","TestHealthCheck","test_health","",""
"An update test for a non-existent category should return a 404.","7","Test updating a non-existent category","tests.integration","Mon Sep 29 20:12:47 GMT 2025","passed","Mon Sep 29 20:12:47 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
"Test successful question creation.","7","Test successful question creation","tests.integration","Mon Sep 29 20:12:47 GMT 2025","passed","Mon Sep 29 20:12:47 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"A test for the successful deletion of a category.","40","test_delete_category","tests.e2e","Mon Sep 29 20:12:47 GMT 2025","passed","Mon Sep 29 20:12:47 GMT 2025","TestCategoriesAPI","test_categories_api","",""
"Test getting all questions.","22","Test getting a list of all questions","tests.integration","Mon Sep 29 20:12:48 GMT 2025","passed","Mon Sep 29 20:12:48 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test getting questions by category.","8","Test filtering questions by category","tests.unit","Mon Sep 29 20:12:48 GMT 2025","passed","Mon Sep 29 20:12:48 GMT 2025","TestQuestionService","test_question_service","",""
"Test creating a new question.","4","Test creating a new question successfully","tests.unit","Mon Sep 29 20:12:48 GMT 2025","passed","Mon Sep 29 20:12:48 GMT 2025","TestQuestionService","test_question_service","",""
"Test that root endpoint is accessible.","13","test_root_endpoint","tests.e2e","Mon Sep 29 20:12:47 GMT 2025","passed","Mon Sep 29 20:12:47 GMT 2025","TestHealthCheck","test_health","",""
"Test updating a non-existent question returns None.","1","Test updating a non-existent question","tests.unit","Mon Sep 29 20:12:48 GMT 2025","passed","Mon Sep 29 20:12:48 GMT 2025","TestQuestionService","test_question_service","",""
"Test for successful retrieval of a question by ID.","13","test_read_question_by_id","tests.e2e","Mon Sep 29 20:12:47 GMT 2025","passed","Mon Sep 29 20:12:47 GMT 2025","TestQuestionsAPI","test_questions_api","",""
"Test deleting a non-existent category returns None.","1","Test deleting a non-existent category","tests.unit","Mon Sep 29 20:12:48 GMT 2025","passed","Mon Sep 29 20:12:48 GMT 2025","TestCategoryService","test_category_service","",""
"Test for getting 404 errors when requesting a non-existent category.","12","test_read_nonexistent_category","tests.e2e","Mon Sep 29 20:12:47 GMT 2025","passed","Mon Sep 29 20:12:47 GMT 2025","TestCategoriesAPI","test_categories_api","",""
"Test that creating duplicate question fails.","12","Test failure when creating a duplicate question","tests.integration","Mon Sep 29 20:12:48 GMT 2025","passed","Mon Sep 29 20:12:48 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"The deletion test for a non-existent category should return a 404.","6","Test deleting a non-existent category","tests.integration","Mon Sep 29 20:12:47 GMT 2025","passed","Mon Sep 29 20:12:47 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
"Test retrieving all questions without filters.","15","test_get_all_questions","tests.e2e","Mon Sep 29 20:12:47 GMT 2025","passed","Mon Sep 29 20:12:47 GMT 2025","TestQuestionsAPI","test_questions_api","",""
"Test getting question by ID.","4","Test getting a single question by its ID","tests.integration","Mon Sep 29 20:12:48 GMT 2025","passed","Mon Sep 29 20:12:48 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test updating non-existent question returns 404.","6","Test updating a non-existent question","tests.integration","Mon Sep 29 20:12:48 GMT 2025","passed","Mon Sep 29 20:12:48 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test getting question by text is case insensitive.","4","Test getting a question by text is case-insensitive","tests.unit","Mon Sep 29 20:12:48 GMT 2025","passed","Mon Sep 29 20:12:48 GMT 2025","TestQuestionService","test_question_service","",""
"Test getting categories with pagination.","7","Test getting categories with pagination","tests.unit","Mon Sep 29 20:12:48 GMT 2025","passed","Mon Sep 29 20:12:48 GMT 2025","TestCategoryService","test_category_service","",""
"Test getting all categories.","5","Test getting a list of all categories","tests.unit","Mon Sep 29 20:12:48 GMT 2025","passed","Mon Sep 29 20:12:48 GMT 2025","TestCategoryService","test_category_service","",""
"Test updating a question.","10","Test successful question update","tests.integration","Mon Sep 29 20:12:48 GMT 2025","passed","Mon Sep 29 20:12:48 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test getting a non-existent category by name returns None.","1","Test getting a non-existent category by name","tests.unit","Mon Sep 29 20:12:48 GMT 2025","passed","Mon Sep 29 20:12:48 GMT 2025","TestCategoryService","test_category_service","",""
"
Test for successful retrieval of a category by ID.

The `managed_category` fixture provides the ID of an already created category.
","15","test_read_category_by_id","tests.e2e","Mon Sep 29 20:12:47 GMT 2025","passed","Mon Sep 29 20:12:47 GMT 2025","TestCategoriesAPI","test_categories_api","",""
"The test of successful category creation.","25","Test successful category creation","tests.integration","Mon Sep 29 20:12:47 GMT 2025","passed","Mon Sep 29 20:12:47 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
