"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test deleting a non-existent category returns None.","2","Test deleting a non-existent category","tests.unit","Wed Sep 17 20:02:40 GMT 2025","passed","Wed Sep 17 20:02:40 GMT 2025","TestCategoryService","test_category_service","",""
"Test that creating duplicate question fails.","13","Test failure when creating a duplicate question","tests.integration","Wed Sep 17 20:02:40 GMT 2025","passed","Wed Sep 17 20:02:40 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"The test for getting a non-existent category should return a 404.","8","Test getting a non-existent category","tests.integration","Wed Sep 17 20:02:39 GMT 2025","passed","Wed Sep 17 20:02:39 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
"Test getting a category by ID.","5","Test getting an existing category by ID","tests.unit","Wed Sep 17 20:02:40 GMT 2025","passed","Wed Sep 17 20:02:40 GMT 2025","TestCategoryService","test_category_service","",""
"Test getting question by text is case insensitive.","5","Test getting a question by text is case-insensitive","tests.unit","Wed Sep 17 20:02:40 GMT 2025","passed","Wed Sep 17 20:02:40 GMT 2025","TestQuestionService","test_question_service","",""
"The test of successful category creation.","28","Test successful category creation","tests.integration","Wed Sep 17 20:02:39 GMT 2025","passed","Wed Sep 17 20:02:39 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
"Test getting a non-existent category by name returns None.","2","Test getting a non-existent category by name","tests.unit","Wed Sep 17 20:02:40 GMT 2025","passed","Wed Sep 17 20:02:40 GMT 2025","TestCategoryService","test_category_service","",""
"Test deleting a question.","6","Test deleting an existing question","tests.unit","Wed Sep 17 20:02:40 GMT 2025","passed","Wed Sep 17 20:02:40 GMT 2025","TestQuestionService","test_question_service","",""
"A test for the successful deletion of a category.","51","test_delete_category","tests.e2e","Wed Sep 17 20:02:39 GMT 2025","passed","Wed Sep 17 20:02:39 GMT 2025","TestCategoriesAPI","test_categories_api","",""
"Test getting a non-existent category returns None.","2","Test getting a non-existent category by ID","tests.unit","Wed Sep 17 20:02:40 GMT 2025","passed","Wed Sep 17 20:02:40 GMT 2025","TestCategoryService","test_category_service","",""
"Test deleting non-existent question returns 404.","8","Test deleting a non-existent question","tests.integration","Wed Sep 17 20:02:40 GMT 2025","passed","Wed Sep 17 20:02:40 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"An update test for a non-existent category should return a 404.","7","Test updating a non-existent category","tests.integration","Wed Sep 17 20:02:40 GMT 2025","passed","Wed Sep 17 20:02:40 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
"A cascade deletion test for questions when deleting a category.","25","Test cascade deletion of questions when a category is deleted","tests.integration","Wed Sep 17 20:02:40 GMT 2025","passed","Wed Sep 17 20:02:40 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
"Test creating a new question.","5","Test creating a new question successfully","tests.unit","Wed Sep 17 20:02:40 GMT 2025","passed","Wed Sep 17 20:02:40 GMT 2025","TestQuestionService","test_question_service","",""
"Test for getting 404 errors when requesting a non-existent category.","14","test_read_nonexistent_category","tests.e2e","Wed Sep 17 20:02:39 GMT 2025","passed","Wed Sep 17 20:02:39 GMT 2025","TestCategoriesAPI","test_categories_api","",""
"Test updating a question.","5","Test updating an existing question","tests.unit","Wed Sep 17 20:02:40 GMT 2025","passed","Wed Sep 17 20:02:40 GMT 2025","TestQuestionService","test_question_service","",""
"Test successful question creation.","8","Test successful question creation","tests.integration","Wed Sep 17 20:02:40 GMT 2025","passed","Wed Sep 17 20:02:40 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test that root endpoint is accessible.","14","test_root_endpoint","tests.e2e","Wed Sep 17 20:02:39 GMT 2025","passed","Wed Sep 17 20:02:39 GMT 2025","TestHealthCheck","test_health","",""
"Test updating question's category.","16","Test updating a question's category","tests.integration","Wed Sep 17 20:02:40 GMT 2025","passed","Wed Sep 17 20:02:40 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test updating non-existent question returns 404.","8","Test updating a non-existent question","tests.integration","Wed Sep 17 20:02:40 GMT 2025","passed","Wed Sep 17 20:02:40 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test getting a non-existent question returns None.","1","Test getting a non-existent question by ID","tests.unit","Wed Sep 17 20:02:40 GMT 2025","passed","Wed Sep 17 20:02:40 GMT 2025","TestQuestionService","test_question_service","",""
"Test getting all questions.","6","Test getting a list of all questions","tests.unit","Wed Sep 17 20:02:40 GMT 2025","passed","Wed Sep 17 20:02:40 GMT 2025","TestQuestionService","test_question_service","",""
"Test getting non-existent question returns 404.","7","Test getting a non-existent question","tests.integration","Wed Sep 17 20:02:40 GMT 2025","passed","Wed Sep 17 20:02:40 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"The deletion test for a non-existent category should return a 404.","8","Test deleting a non-existent category","tests.integration","Wed Sep 17 20:02:40 GMT 2025","passed","Wed Sep 17 20:02:40 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
"A test that verifies the impossibility of creating a duplicate category.","16","Test failure when creating a duplicate category","tests.integration","Wed Sep 17 20:02:39 GMT 2025","passed","Wed Sep 17 20:02:39 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
"Test getting a question by ID.","5","Test getting an existing question by ID","tests.unit","Wed Sep 17 20:02:40 GMT 2025","passed","Wed Sep 17 20:02:40 GMT 2025","TestQuestionService","test_question_service","",""
"Test getting all questions.","25","Test getting a list of all questions","tests.integration","Wed Sep 17 20:02:40 GMT 2025","passed","Wed Sep 17 20:02:40 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test deleting a category.","6","Test deleting an existing category","tests.unit","Wed Sep 17 20:02:40 GMT 2025","passed","Wed Sep 17 20:02:40 GMT 2025","TestCategoryService","test_category_service","",""
"Test updating a question.","12","Test successful question update","tests.integration","Wed Sep 17 20:02:40 GMT 2025","passed","Wed Sep 17 20:02:40 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test getting non-existent question by text returns None.","2","Test getting a non-existent question by text","tests.unit","Wed Sep 17 20:02:40 GMT 2025","passed","Wed Sep 17 20:02:40 GMT 2025","TestQuestionService","test_question_service","",""
"A test for successfully deleting a category.","13","Test successful category deletion","tests.integration","Wed Sep 17 20:02:40 GMT 2025","passed","Wed Sep 17 20:02:40 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
"Test updating a non-existent question returns None.","2","Test updating a non-existent question","tests.unit","Wed Sep 17 20:02:40 GMT 2025","passed","Wed Sep 17 20:02:40 GMT 2025","TestQuestionService","test_question_service","",""
"Test getting all categories.","5","Test getting a list of all categories","tests.unit","Wed Sep 17 20:02:40 GMT 2025","passed","Wed Sep 17 20:02:40 GMT 2025","TestCategoryService","test_category_service","",""
"Test getting question by ID.","5","Test getting a single question by its ID","tests.integration","Wed Sep 17 20:02:40 GMT 2025","passed","Wed Sep 17 20:02:40 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
