"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that root endpoint is accessible.","11","test_root_endpoint","tests.e2e","Thu Oct 09 03:53:59 GMT 2025","passed","Thu Oct 09 03:53:59 GMT 2025","TestHealthCheck","test_health","",""
"A test of a successful category update.","8","Test successful category update","tests.integration","Thu Oct 09 03:54:00 GMT 2025","passed","Thu Oct 09 03:54:00 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
"Test getting non-existent question returns 404.","5","Test getting a non-existent question","tests.integration","Thu Oct 09 03:54:00 GMT 2025","passed","Thu Oct 09 03:54:00 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test for getting 404 errors when requesting a non-existent category.","11","test_read_nonexistent_category","tests.e2e","Thu Oct 09 03:53:59 GMT 2025","passed","Thu Oct 09 03:53:59 GMT 2025","TestCategoriesAPI","test_categories_api","",""
"Test getting a non-existent category returns None.","1","Test getting a non-existent category by ID","tests.unit","Thu Oct 09 03:54:01 GMT 2025","passed","Thu Oct 09 03:54:01 GMT 2025","TestCategoryService","test_category_service","",""
"Test getting all questions.","23","Test getting a list of all questions","tests.integration","Thu Oct 09 03:54:00 GMT 2025","passed","Thu Oct 09 03:54:00 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test getting questions by category.","30","Test filtering questions by category ID","tests.integration","Thu Oct 09 03:54:00 GMT 2025","passed","Thu Oct 09 03:54:00 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test getting a category by ID.","3","Test getting an existing category by ID","tests.unit","Thu Oct 09 03:54:01 GMT 2025","passed","Thu Oct 09 03:54:01 GMT 2025","TestCategoryService","test_category_service","",""
"Test successful question creation.","7","Test successful question creation","tests.integration","Thu Oct 09 03:54:00 GMT 2025","passed","Thu Oct 09 03:54:00 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test getting a category by name is case insensitive.","3","Test getting a category by name is case-insensitive","tests.unit","Thu Oct 09 03:54:01 GMT 2025","passed","Thu Oct 09 03:54:01 GMT 2025","TestCategoryService","test_category_service","",""
"Test getting a question by ID.","3","Test getting an existing question by ID","tests.unit","Thu Oct 09 03:54:01 GMT 2025","passed","Thu Oct 09 03:54:01 GMT 2025","TestQuestionService","test_question_service","",""
"Test updating non-existent question returns 404.","7","Test updating a non-existent question","tests.integration","Thu Oct 09 03:54:00 GMT 2025","passed","Thu Oct 09 03:54:01 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
