"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test updating non-existent question returns 404.","7","Test updating a non-existent question","tests.integration","Sun Sep 14 11:17:50 GMT 2025","passed","Sun Sep 14 11:17:50 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test updating question's category.","12","Test updating a question's category","tests.integration","Sun Sep 14 11:17:50 GMT 2025","passed","Sun Sep 14 11:17:50 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test getting question by ID.","4","Test getting a single question by its ID","tests.integration","Sun Sep 14 11:17:50 GMT 2025","passed","Sun Sep 14 11:17:50 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test partial update of question.","3","Test partial update of a question","tests.unit","Sun Sep 14 11:17:50 GMT 2025","passed","Sun Sep 14 11:17:50 GMT 2025","TestQuestionService","test_question_service","",""
"Test getting a category by name.","3","Test getting a category by its name","tests.unit","Sun Sep 14 11:17:50 GMT 2025","passed","Sun Sep 14 11:17:50 GMT 2025","TestCategoryService","test_category_service","",""
"The deletion test for a non-existent category should return a 404.","7","Test deleting a non-existent category","tests.integration","Sun Sep 14 11:17:50 GMT 2025","passed","Sun Sep 14 11:17:50 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
"Test getting all questions.","5","Test getting a list of all questions","tests.unit","Sun Sep 14 11:17:50 GMT 2025","passed","Sun Sep 14 11:17:50 GMT 2025","TestQuestionService","test_question_service","",""
"Test getting a category by ID.","3","Test getting an existing category by ID","tests.unit","Sun Sep 14 11:17:50 GMT 2025","passed","Sun Sep 14 11:17:50 GMT 2025","TestCategoryService","test_category_service","",""
"Test that creating duplicate question fails.","12","Test failure when creating a duplicate question","tests.integration","Sun Sep 14 11:17:50 GMT 2025","passed","Sun Sep 14 11:17:50 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test for the successful creation of a question.","19","test_create_question","tests.e2e","Sun Sep 14 11:17:49 GMT 2025","passed","Sun Sep 14 11:17:49 GMT 2025","TestQuestionsAPI","test_questions_api","",""
"The test of successful category creation.","24","Test successful category creation","tests.integration","Sun Sep 14 11:17:50 GMT 2025","passed","Sun Sep 14 11:17:50 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
"Test getting all questions.","22","Test getting a list of all questions","tests.integration","Sun Sep 14 11:17:50 GMT 2025","passed","Sun Sep 14 11:17:50 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test updating a non-existent question returns None.","2","Test updating a non-existent question","tests.unit","Sun Sep 14 11:17:50 GMT 2025","passed","Sun Sep 14 11:17:50 GMT 2025","TestQuestionService","test_question_service","",""
"Test deleting a question.","11","Test successful question deletion","tests.integration","Sun Sep 14 11:17:50 GMT 2025","passed","Sun Sep 14 11:17:50 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test getting questions by category.","8","Test filtering questions by category","tests.unit","Sun Sep 14 11:17:50 GMT 2025","passed","Sun Sep 14 11:17:50 GMT 2025","TestQuestionService","test_question_service","",""
"Test deleting a non-existent category returns None.","2","Test deleting a non-existent category","tests.unit","Sun Sep 14 11:17:50 GMT 2025","passed","Sun Sep 14 11:17:50 GMT 2025","TestCategoryService","test_category_service","",""
"Test getting a question by ID.","3","Test getting an existing question by ID","tests.unit","Sun Sep 14 11:17:50 GMT 2025","passed","Sun Sep 14 11:17:50 GMT 2025","TestQuestionService","test_question_service","",""
"Test that health endpoint returns correct status.","11","test_health_endpoint","tests.e2e","Sun Sep 14 11:17:49 GMT 2025","passed","Sun Sep 14 11:17:49 GMT 2025","TestHealthCheck","test_health","",""
"Test creating a new question.","4","Test creating a new question successfully","tests.unit","Sun Sep 14 11:17:50 GMT 2025","passed","Sun Sep 14 11:17:50 GMT 2025","TestQuestionService","test_question_service","",""
"Test getting question by text is case insensitive.","3","Test getting a question by text is case-insensitive","tests.unit","Sun Sep 14 11:17:50 GMT 2025","passed","Sun Sep 14 11:17:50 GMT 2025","TestQuestionService","test_question_service","",""
"Test updating a question.","9","Test successful question update","tests.integration","Sun Sep 14 11:17:50 GMT 2025","passed","Sun Sep 14 11:17:50 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test successful question creation.","7","Test successful question creation","tests.integration","Sun Sep 14 11:17:50 GMT 2025","passed","Sun Sep 14 11:17:50 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test deleting a category.","3","Test deleting an existing category","tests.unit","Sun Sep 14 11:17:50 GMT 2025","passed","Sun Sep 14 11:17:50 GMT 2025","TestCategoryService","test_category_service","",""
"Test getting a non-existent question returns None.","1","Test getting a non-existent question by ID","tests.unit","Sun Sep 14 11:17:50 GMT 2025","passed","Sun Sep 14 11:17:50 GMT 2025","TestQuestionService","test_question_service","",""
"Test getting all categories.","4","Test getting a list of all categories","tests.unit","Sun Sep 14 11:17:50 GMT 2025","passed","Sun Sep 14 11:17:50 GMT 2025","TestCategoryService","test_category_service","",""
"Test getting a category by name is case insensitive.","2","Test getting a category by name is case-insensitive","tests.unit","Sun Sep 14 11:17:50 GMT 2025","passed","Sun Sep 14 11:17:50 GMT 2025","TestCategoryService","test_category_service","",""
"A test for successfully deleting a category.","11","Test successful category deletion","tests.integration","Sun Sep 14 11:17:50 GMT 2025","passed","Sun Sep 14 11:17:50 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
"
Test for successful retrieval of a category by ID.

The `managed_category` fixture provides the ID of an already created category.
","15","test_read_category_by_id","tests.e2e","Sun Sep 14 11:17:49 GMT 2025","passed","Sun Sep 14 11:17:49 GMT 2025","TestCategoriesAPI","test_categories_api","",""
"Test updating a question.","4","Test updating an existing question","tests.unit","Sun Sep 14 11:17:50 GMT 2025","passed","Sun Sep 14 11:17:50 GMT 2025","TestQuestionService","test_question_service","",""
"Test getting a non-existent category by name returns None.","2","Test getting a non-existent category by name","tests.unit","Sun Sep 14 11:17:50 GMT 2025","passed","Sun Sep 14 11:17:50 GMT 2025","TestCategoryService","test_category_service","",""
"Test getting a non-existent category returns None.","1","Test getting a non-existent category by ID","tests.unit","Sun Sep 14 11:17:50 GMT 2025","passed","Sun Sep 14 11:17:50 GMT 2025","TestCategoryService","test_category_service","",""
"Test getting non-existent question returns 404.","6","Test getting a non-existent question","tests.integration","Sun Sep 14 11:17:50 GMT 2025","passed","Sun Sep 14 11:17:50 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"A test that verifies the impossibility of creating a duplicate category.","14","Test failure when creating a duplicate category","tests.integration","Sun Sep 14 11:17:50 GMT 2025","passed","Sun Sep 14 11:17:50 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
